Min height,s0,s1,s2,s3,s4,s5,s6,s7
293.2620369858901,"[11310, 'Circle']","[14400, 'Poly']","[25447, 'Circle']","[16200, 'Poly']","[11310, 'Circle']","[16200, 'Poly']","[25447, 'Circle']","[14400, 'Poly']"
169.46011138528442,"[11310, 'Circle']","[25447, 'Circle']","[11310, 'Circle']","[16200, 'Poly']","[16200, 'Poly']","[14400, 'Poly']","[25447, 'Circle']","[14400, 'Poly']"
239.41387944260566,"[11310, 'Circle']","[11310, 'Circle']","[25447, 'Circle']","[25447, 'Circle']","[14400, 'Poly']","[16200, 'Poly']","[16200, 'Poly']","[14400, 'Poly']"
231.85226236126704,"[16200, 'Poly']","[16200, 'Poly']","[25447, 'Circle']","[25447, 'Circle']","[14400, 'Poly']","[11310, 'Circle']","[14400, 'Poly']","[11310, 'Circle']"
251.19611506189986,"[16200, 'Poly']","[14400, 'Poly']","[11310, 'Circle']","[11310, 'Circle']","[25447, 'Circle']","[16200, 'Poly']","[25447, 'Circle']","[14400, 'Poly']"
252.37533237686196,"[11310, 'Circle']","[16200, 'Poly']","[25447, 'Circle']","[11310, 'Circle']","[16200, 'Poly']","[14400, 'Poly']","[25447, 'Circle']","[14400, 'Poly']"
239.14518734831302,"[16200, 'Poly']","[14400, 'Poly']","[11310, 'Circle']","[25447, 'Circle']","[14400, 'Poly']","[16200, 'Poly']","[11310, 'Circle']","[25447, 'Circle']"
263.65210246476147,"[25447, 'Circle']","[11310, 'Circle']","[25447, 'Circle']","[14400, 'Poly']","[11310, 'Circle']","[14400, 'Poly']","[16200, 'Poly']","[16200, 'Poly']"
245.04607168885295,"[25447, 'Circle']","[16200, 'Poly']","[14400, 'Poly']","[16200, 'Poly']","[11310, 'Circle']","[14400, 'Poly']","[25447, 'Circle']","[11310, 'Circle']"
239.6189151359719,"[14400, 'Poly']","[11310, 'Circle']","[14400, 'Poly']","[25447, 'Circle']","[11310, 'Circle']","[16200, 'Poly']","[25447, 'Circle']","[16200, 'Poly']"
